"","X","bo_year_rank","worldwidegross","domesticgross","overseasgross","runtimeMinutes","averageRating","numVotes","Hcluster","km.cluster","numVotes_sq","bo_and_num"
"161",334,27,155700000,57000000,98700000,99,6.3,55034,"5","4",3028741156,1485918
"162",335,27,361700000,706000,361000000,110,5.3,1076,"3","7",1157776,29052
"163",336,27,161800000,89100000,72700000,116,5.5,115720,"4","4",13391118400,3124440
"164",337,27,147900000,112700000,35200000,88,5.4,101116,"4","4",10224445456,2730132
"165",338,27,180600000,127200000,53400000,108,6.2,96584,"4","4",9328469056,2607768
"166",339,27,179300000,66500000,112800000,110,5.8,158890,"4","4",25246032100,4290030
"167",340,27,162900000,72700000,90200000,128,6.4,93727,"3","2",8784750529,2530629
"168",341,27,187300000,110400000,76900000,91,5.9,132517,"4","4",17560755289,3577959
"169",342,27,196400000,82300000,114100000,115,6.2,156052,"4","2",24352226704,4213404
"170",343,27,164900000,80200000,84600000,108,6.2,168152,"4","4",28275095104,4540104
"171",344,27,223200000,97700000,125600000,104,6.8,314015,"3","7",98605420225,8478405
"172",345,27,219900000,116600000,103300000,114,5.5,254463,"3","7",64751418369,6870501
"173",346,27,305300000,83700000,221600000,99,5.7,174063,"3","7",30297927969,4699701
"174",347,27,282600000,83000000,199500000,96,6.4,76003,"3","7",5776456009,2052081
"175",348,27,334900000,65100000,269800000,129,6.5,221314,"3","7",48979886596,5975478
"176",349,28,351300000,115300000,236000000,95,6.5,29053,"3","7",844076809,813484
"177",350,28,138900000,73300000,65600000,116,7,37307,"6","2",1391812249,1044596
"178",351,28,147800000,66800000,81000000,123,6.1,98136,"6","2",9630674496,2747808
"179",352,28,152700000,71500000,81200000,121,7.2,169685,"3","2",28792999225,4751180
"180",353,28,179200000,102500000,76600000,103,5.3,199107,"4","4",39643597449,5574996
"181",354,28,172900000,139200000,33600000,104,5.6,45500,"4","4",2070250000,1274000
"182",355,28,162200000,57500000,104800000,145,7.4,132620,"3","2",17588064400,3713360
"183",356,28,163800000,63500000,100300000,132,6,104582,"3","2",10937394724,2928296
"184",357,28,222200000,80200000,142100000,88,6.1,274584,"3","7",75396373056,7688352
"185",358,28,186100000,120100000,66000000,115,5.9,134469,"4","4",18081911961,3765132
"186",359,28,271400000,162000000,109400000,102,5.9,213806,"3","7",45713005636,5986568
"187",360,28,3.03e+08,65400000,237600000,131,5.8,226876,"3","7",51472719376,6352528
"188",363,28,274300000,119800000,154500000,95,6.4,82452,"3","7",6798332304,2308656
"189",364,28,320400000,102500000,217900000,134,7.3,201152,"3","7",40462127104,5632256
